ID,URL,3/25/22 14:23,3/25/22 14:35,3/25/22 14:46,3/25/22 14:57,3/25/22 15:08,3/25/22 15:19,3/25/22 15:30,3/25/22 15:41,3/25/22 15:51,3/25/22 16:02,3/25/22 16:13,3/25/22 16:24,3/25/22 16:34,3/25/22 16:45,3/25/22 16:56,3/25/22 17:07,3/25/22 17:18,3/25/22 17:29
7470945,https://www.eki-mmkk.shop,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7470944,https://www.aeon.co.jp.07wenku.com,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14
7470941,https://www.aesosa.icu,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7470933,http://yourpagehasbeendetected.co.vu/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15
7470932,https://reactedtoapostyourshared.co.vu/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14
7470930,https://bussines-page-appeal-2923-05.web.app/appeal.html,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7470923,https://metamsk.top/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17
7470919,https://solanawinter.live/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7470915,https://1inchl.com/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7470909,http://painel.meninaflordecor.com.br/uploads/111/boleto.php?file=NotaFiscal_23-03-2022.zip,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7470908,http://www.retificademotores.net/uss/nfe.html,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7470906,https://www.empresa.lnterbank.1enhome.com/,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8
7470949,https://ssl3primeiroacesso.ddns.net/,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7470951,https://redirnner.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470950,http://bullionplusplus.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470953,http://claiimeventffnew2022.duckdns.org/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15
7470958,https://clientes-en-linea-web.web.app/,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7470955,http://kardashianhomedecor.ga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470954,http://coinplus.media,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470959,https://bgdmkx.tk/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7470966,https://alpacarfinance.org/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7470972,https://nelwill4.plumsail.io/87980662-d9b7-4529-88d5-216cd034006a,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
