ID,URL,2022-04-08 09:31:48,2022-04-08 10:32:30,2022-04-08 11:32:52,2022-04-08 12:33:18,2022-04-08 13:33:41,2022-04-08 14:34:00,2022-04-08 15:34:25,2022-04-08 16:34:48,2022-04-08 17:35:13,2022-04-08 18:35:37,2022-04-08 19:35:59,2022-04-08 20:36:20,2022-04-08 21:36:43
7480430,http://ca37319.tmweb.ru/,16,16,16,16,16,16,16,16,16,16,16,16,16
7480429,https://sandboxthegame.fun/,12,12,12,12,12,12,12,12,12,12,12,12,12
7480424,http://drestorm.x10.mx,13,13,13,13,13,13,13,13,13,13,13,13,13
7480423,https://fruitfulhopefulobjects.bgeneralfw6com.repl.co,9,9,9,9,9,9,9,9,9,9,9,9,9
7480422,https://heftystrongdrawing.bgeneralfw7com.repl.co,16,16,16,16,16,16,16,16,16,16,16,16,16
7480421,https://general.bancogeneral7.repl.co/,13,13,13,13,13,13,13,13,13,13,13,13,13
7480420,https://bpqa.easycashmanagement.com/easyteller/indexPichincha.html,12,12,12,12,12,12,12,12,12,12,12,12,12
7480416,http://healthiestkitchenever.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
7480413,http://gryhanfeya.klisaikolrhuntypolaeriu.link/,14,14,14,14,14,14,14,14,14,14,14,14,14
7480412,http://pgesbinalbajaucrotceorotgaysssssss.co.vu/confirmid.php,19,19,19,19,19,19,19,19,19,19,19,19,19
7480411,https://repairofyouracctransparancylink.co.vu/,18,18,18,18,18,18,18,18,18,18,18,18,18
7480434,https://business-page-appeal-1262362-3.web.app/,16,16,16,16,16,16,16,16,16,16,16,16,16
7480433,http://jsalalaiuorale.sejuangrelocuancoleeang.link/,11,11,11,11,11,11,11,11,11,11,11,11,11
7480432,http://phantomgalaxies.app,13,13,13,13,13,13,13,13,13,13,13,13,13
7480431,https://www.app-airdrop.com/cake/,6,6,6,6,6,6,6,6,6,6,6,6,6
7480439,https://polkadotx2.com/,10,10,10,10,10,10,10,10,10,10,10,10,10
7480440,http://decentralgame.online,10,10,10,10,10,10,10,10,10,10,10,10,10
