ID,URL,3/31/22 17:06,3/31/22 17:17,3/31/22 17:27,3/31/22 17:37,3/31/22 17:48,3/31/22 17:58,3/31/22 18:08,3/31/22 18:18,3/31/22 18:29,3/31/22 18:39,3/31/22 19:00,3/31/22 19:11,3/31/22 19:21,3/31/22 19:31,3/31/22 19:42,3/31/22 19:52,3/31/22 20:03
7474889,https://afferki.xyz/,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
7474888,https://brindfr.xyz/,11,11,11,11,11,11,11,11,11,11,-1,11,11,11,11,11,11
7474881,https://main.d1hnpms2hj3rum.amplifyapp.com/index.html#[emailÂ,13,14,14,14,14,14,14,14,14,14,-1,14,14,14,14,14,14
7474880,http://wvwbanbif.empresas-pe.com/,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
7474878,https://asistentebancariobancentrolafise-nicaraguaproteccion-nicaragu.webnode.es/,7,7,7,7,7,7,7,7,7,7,-1,7,7,7,7,7,7
7474876,https://hospitabledarkcyancoderesource.lafise22.repl.co/,16,16,16,16,16,16,16,16,16,16,-1,16,16,16,16,16,16
7474875,https://3466822.000webhostapp.com/,17,17,17,17,17,17,17,17,17,17,-1,17,17,17,17,17,17
7474874,https://autologin-jp.zjsphw.cn/,9,9,9,9,9,9,9,9,9,9,-1,9,9,9,9,9,9
7474873,https://sever.aout.bxhhm.cn/,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,13,13,13
7474872,https://oauto-cau.zgmsqy.cn/,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,13,13,13
7474871,https://infoau-jp.lonecatalysts.com/,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,13,13,13
7474870,https://infoau-auone.psestremoz.com/,12,12,12,12,12,12,12,12,12,12,-1,12,12,12,12,12,12
7474893,https://listingdrop-pitbull.com/,10,10,10,10,10,10,10,10,10,10,-1,10,10,10,10,10,10
7474897,http://cryptowalletconnectors.com,16,16,16,16,16,16,16,16,16,16,-1,16,16,16,16,16,16
7474896,https://ppucbonline.com/wp-admin/css/js/index1.html,8,8,8,8,8,8,8,8,8,8,-1,8,8,8,8,8,8
7474900,https://financeswapcake.com/,14,14,14,14,14,14,14,14,14,14,-1,14,14,14,14,14,14
7474906,https://metamask-us-en.com/,16,16,16,16,16,16,16,16,16,16,-1,16,16,16,16,16,16
7474904,http://saisoncardt.club/netservice/card.jsp,11,11,11,11,11,11,11,11,11,11,-1,11,11,11,11,11,11
7474903,https://decentral-game.org/,11,11,11,11,11,11,11,11,11,11,-1,11,11,11,11,11,11
7474910,https://solanart.pro:443/,10,10,10,10,10,10,10,10,10,10,-1,10,10,10,10,10,10
7474907,https://www.visa-co-jp.gftdze.xyz/cardinfo.php?ignin&openid.idec_handle=jpenid.net%2Fauth%2F2.0&&ref_=nav_em_hd_clc_signin,10,12,12,12,12,12,12,12,12,12,-1,12,12,12,12,12,12
7474918,https://auone.ministrationa.xyz/?u=aHR0cHM6Ly93dW1vdS5saXZlL3Byb2R1Y3RzLzg4OHl5bml1ODg4Lmh0bWw/ZmJjbGlkPUl3QVIzTS1fTGRQUS05ZWdsZTc4bXRkYkt0RC11OVJMTmVnTEY0S1JMRXJCMjh1NWlNb2V6c2hrbnZVQU0=,7,7,7,7,7,7,7,7,7,7,-1,7,7,7,7,7,7
7474917,https://www.smbc-login.top/client/index.html,12,12,12,12,12,12,12,12,12,12,-1,12,12,12,12,12,12
7474930,http://www.lisfer-resoetnsc.icu/,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7474925,https://www.lisfer-rcseeteso.com/,14,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14
7474924,https://www.meseosri.com,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14
7474923,https://www.maseaeoeari.icu,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474920,https://eki-nat.cc/Personal/member/Login/index.php?oneTimeAccessID=f9492eaf07c44f5a38b744435202a740,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474919,http://eki-nat.cc,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474940,https://www.netstation.aplas.lweji.com/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474939,https://vk-further.ru/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474937,http://admin-provk.ru/,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7474936,https://mail-account-verify-22c24.web.app/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7474935,https://vkontakte.app/,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7474949,https://bijitendu.com/mi.us/,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7474948,https://thezyn.info/eua/weds/office/login.php,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474947,https://snaptutorial.com/MarchNews/,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474946,https://my.commbank.com.au0x7kqn16hvt2commbank.cirkonuniversum.hu/.netbank/Logon/ine_api64.html,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474945,https://cirkonuniversum.hu/js/.index.php,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7474943,https://parsi-travel.com/abx/,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7474979,https://woiuakjhzzaq-toyonav544466411.codeanyapp.com/wiojaas/,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
