ID,URL,4/6/22 12:01,4/6/22 13:02,4/6/22 14:02,4/6/22 15:02,4/6/22 16:03,4/6/22 17:03,4/6/22 18:03,4/6/22 19:04,4/6/22 20:04,4/6/22 21:04
7480430,http://ca37319.tmweb.ru/,9,9,9,9,9,9,16,16,16,16
7480429,https://sandboxthegame.fun/,9,9,9,9,9,9,9,9,9,9
7480424,http://drestorm.x10.mx,10,10,10,10,10,10,12,12,12,12
7480423,https://fruitfulhopefulobjects.bgeneralfw6com.repl.co,9,9,9,9,9,9,9,9,9,9
7480422,https://heftystrongdrawing.bgeneralfw7com.repl.co,8,8,8,8,17,17,17,17,17,17
7480421,https://general.bancogeneral7.repl.co/,13,13,13,13,13,13,13,13,13,13
7480420,https://bpqa.easycashmanagement.com/easyteller/indexPichincha.html,6,13,13,13,13,13,12,12,12,12
7480416,http://healthiestkitchenever.com/,0,0,0,0,0,0,0,0,0,0
7480413,http://gryhanfeya.klisaikolrhuntypolaeriu.link/,11,11,11,11,11,11,11,11,11,11
7480412,http://pgesbinalbajaucrotceorotgaysssssss.co.vu/confirmid.php,20,21,21,21,21,21,21,21,21,21
7480411,https://repairofyouracctransparancylink.co.vu/,12,18,18,17,17,17,17,17,17,17
7480434,https://business-page-appeal-1262362-3.web.app/,6,16,16,16,16,16,16,16,17,17
7480433,http://jsalalaiuorale.sejuangrelocuancoleeang.link/,13,13,13,13,13,13,13,13,13,13
7480432,http://phantomgalaxies.app,11,11,11,11,11,11,11,11,11,13
7480431,https://www.app-airdrop.com/cake/,4,4,4,4,4,4,6,6,6,6
7480439,https://polkadotx2.com/,1,1,1,1,1,1,1,1,1,1
7480440,http://decentralgame.online,10,10,10,10,10,10,10,10,10,11
7480443,https://olpensea.com/,9,10,10,10,10,10,10,10,10,10
7480441,https://884sbcproaddressmailing55233492bellglobalm7783892atthjaiaoride.weebly.com/,7,14,14,14,14,14,14,14,14,14
7480449,https://aave-app.art/,6,10,10,10,10,10,9,9,9,9
7480447,https://bendigobank.com.au.reset-account.info,7,7,7,7,7,7,7,7,7,7
7480446,http://walletconnectwebs.com,8,9,9,9,9,9,9,9,9,9
