ID,URL,3/25/22 10:26,3/25/22 10:37,3/25/22 10:49,3/25/22 11:00,3/25/22 11:10,3/25/22 11:21,3/25/22 11:34,3/25/22 11:45,3/25/22 11:55,3/25/22 12:06,3/25/22 12:17,3/25/22 12:28,3/25/22 12:39,3/25/22 12:49,3/25/22 13:00,3/25/22 13:11,3/25/22 13:22,3/25/22 13:32,3/25/22 13:43,3/25/22 13:54,3/25/22 14:04,3/25/22 14:15
7470945,https://www.eki-mmkk.shop,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7470944,https://www.aeon.co.jp.07wenku.com,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7470941,https://www.aesosa.icu,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12
7470933,http://yourpagehasbeendetected.co.vu/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7470932,https://reactedtoapostyourshared.co.vu/,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15
7470930,https://bussines-page-appeal-2923-05.web.app/appeal.html,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7470923,https://metamsk.top/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7470919,https://solanawinter.live/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7470915,https://1inchl.com/,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7470909,http://painel.meninaflordecor.com.br/uploads/111/boleto.php?file=NotaFiscal_23-03-2022.zip,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7470908,http://www.retificademotores.net/uss/nfe.html,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7470906,https://www.empresa.lnterbank.1enhome.com/,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7470949,https://ssl3primeiroacesso.ddns.net/,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7470951,https://redirnner.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470950,http://bullionplusplus.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470953,http://claiimeventffnew2022.duckdns.org/,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7470958,https://clientes-en-linea-web.web.app/,1,1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
7470955,http://kardashianhomedecor.ga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470954,http://coinplus.media,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470959,https://bgdmkx.tk/,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13
7470966,https://alpacarfinance.org/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7470972,https://nelwill4.plumsail.io/87980662-d9b7-4529-88d5-216cd034006a,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7470971,https://blog-news.wizwedembyxz.me/myaccount/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470968,https://fiverr.avijeetovi.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470973,https://bestbonusprize.life/?u=63fkp0n&o=uh7pmz8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470975,https://www.mattjohnson-principal.com/ppp.php,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7470978,https://inclusionplus.co.uk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470979,https://shinemedia.com.ng/wallet/choose-wallet.html,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10
7470981,https://cryptosvalidator.webflow.io/wallet,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7470986,https://marksandspencer.thinkhuman.africa/wp-login.php?redirect_to=https%3A%2F%2Fmarksandspencer.thinkhuman.africa%2F&wppb_referer_url=https%3A%2F%2Fmarksandspencer.thinkhuman.africa%2F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470985,https://marksandspencer.thinkhuman.africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470990,http://www.mncezsceri.icu/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7470988,https://jp.mercari.caoska.xyz/?u=aHR0cHM6Ly93dW1vdS5saXZlL3Byb2R1Y3RzL3lwYXBwODg4Lmh0bWw/ZmJjbGlkPUl3QVIyVHo3a1BrSzloMUtydEZDallPTGRPeUV0UWNmQ19NYTdTdlV6R0J2THVVNlIxS25vcUt2cEROcFk=,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13
7470995,https://coolhead.co.za/wp/wp-admin/images/.n1d2/n1.html,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7470998,http://amex.aexpfeedbackc.com/404.html,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7471013,http://www.mesoersn.com/,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7471012,https://bitsohq.com/,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7471010,http://tracking.aj-emailcamel.com/link.php?%%link_subscriber_info%%&L=5558&F=H&utm_link_click_source=emailcamel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471009,http://tracking.gr-emailcamel.com/link.php?M=36221844&N=35534&U=2381&L=7250&F=H,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471022,https://artecaitalia.com/on1/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471029,http://true-right.com/bperapp_ty/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7471027,https://https-ionos-business-auth.glitch.me/,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12
7471042,https://onlineupdate6.trademark.repl.co/#[emailÂ,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11
7471039,https://firebasestorage.googleapis.com/v0/b/aspire-127b7.appspot.com/o/dnd.html?alt=media&token=58da9567-441f-4f7b-bf07-290e808e5d8d,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10
7471038,http://pge-platnosc.live/?rb.routing.mode=proxy&rb.routing.signature=162592,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7471037,http://pge-platnosc.live/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
7471033,https://mailservercheck-update8.domaemailchk2.repl.co/#[emailÂ,5,5,5,5,5,5,5,5,5,5,5,5,15,15,15,15,15,15,15,15,15,15
7471030,https://validatepronetwork.com/en/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
7471043,https://ch-post-a7ca9b.ingress-baronn.easywp.com/wp-admin/ch/en/,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10
7471050,https://pensive-antonelli.20-125-21-242.plesk.page/Die/CH/,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8
7471046,https://www.google.com.co/url?usg=AFQjCNHN876A3G9goxW3VHV2QpexxnxZUw&sntz=1&sa=D&q=https://spk-kunden-abruf.com/DRH8HHONKP#Q8BDX1EOKdL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471045,http://registrazione-dati-app.com/,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,13
7471054,https://jp.mercari.msoaes.xyz/?u=aHR0cHM6Ly93dW1vdS5saXZlL3Byb2R1Y3RzL3lwYXBwODg4Lmh0bWw/ZmJjbGlkPUl3QVIxN1puSjFLZTFpWDFSYTdfY3FySVFrUWRVTlN1ZHZTOUF0M3Etdko2LUNNR1IyY0tLOHlSX0hOckk=,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7471053,https://forms.zohopublic.eu/valeriiejerram/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/xJb2zxB9O2ospjbZm0Fn1so5E_-5dYjHiYj-d0oVits,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
7471052,https://tahsinbasbuga.com/index.php,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13
7471051,https://btinternet01.yolasite.com/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7471057,https://forms.zohopublic.com/dwd76161/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/DhCxS9r97OKKCUfWgtCnWJfFvNkz5PnUQ2ftoY4-jzQ,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7471063,https://po-transit-item.com/,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6
7471061,https://monzo-account-team.com/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7471060,https://kinderprodukte.site/click.php?key=svflcz129x2rdnewab61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7471068,https://webmail-101510.weeblysite.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7471066,https://sprkasselogin.sytes.net/betaling.php,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11
7471065,https://lieferung-paket-kundin.andreastores.com/delivery/checkout/receive,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7471071,https://ameli-frconnect.fr/,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7471079,https://portattformdar.weebly.com/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7471078,https://attservice45.weebly.com/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7471077,https://attemailnetworking.weebly.com/,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12
7471075,http://upjyztbmqn.duckdns.org/,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10
7471074,http://bit.do/fTVzw,-1,-1,-1,-1,-1,-1,-1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10
7471072,http://www.orderyourservices.in/po.php,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7471070,https://ueuyyeyjehgetygbh0-wy563hbhsdhvte-gvdsgs.ey-gsh-839hj-sh73bdu8-ns627.repl.co/OpenSea.html,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7471083,https://kaalsarpdoshnivarankendra.com/authentication/,0,0,0,0,0,0,-1,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
7471082,https://aiu.kdda.kamperswest.net/,0,0,0,0,0,0,-1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10
7471092,https://forms.zohopublic.eu/henryjuliet713/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/4KT47XJGmq29m5Mf_dtDD0pIJrMvXyC9Wq_lqxsbrNM,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
7471091,http://brusselsandbeyond.be/496451.html,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471090,https://app.getresponse.com/site2/832b1eddaf2dbde615c244486a2c99ee/?u=Mnmvt&webforms_id=G9tvJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7471089,https://mypaidy-jpinfo.com/,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7471088,https://sfr-5g.com/,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5
7471086,https://www.mobiliesuisa.com.huibiwo3666.com/index.html,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10
7471084,https://connect-auone-jp.yttxy.com.cn/,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10
7471097,https://dlscordnitroi.com/AirDrops,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15
7471096,https://docs.google.com/forms/d/e/1FAIpQLSdu9AmhSE65JrLfkS2zy8BdDHxG2olK55uudi4EXIh3Ox4oXA/viewform?usp=send_form,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
7471095,https://forms.gle/F55WZpntHqMLGYeR6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
7471107,https://mda7.duckdns.org/daquibci*email.nr/em2.html,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9
7471100,https://low-worried-antimony.glitch.me/,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7471115,http://domain-registrar.storage.googleapis.com/expired.html?nonplusgames.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471114,http://nonplusgames.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471113,http://anxietucanada.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471112,http://smartprivatibper.000webhostapp.com/,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7471111,https://www.krizia.it/.tmb/cose//Correos/?clp=327598322,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7471110,https://upgradeaollll.weebly.com/,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,16,16,16,16
7471109,https://kihigytattcureenlyfiu.weebly.com/,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17
7471123,http://bkd.sulbarprov.go.id/wp-content/upgrade/mkbbssl/014d67751c000b833d6bae0b278343f4/,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7471122,https://t.ly/GaW7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7471121,https://thesmartarchitecture.com/correos/Seleccione_medio_de_pago.php,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,12,12,12,12,12,12,12
7471126,https://app.formbot.com/forms/5588967e-7512-421c-801a-627311a53571,-1,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7471135,https://gigsamx.com/wp-admin/api.html,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6
7471134,https://lnkd.in/eFUyvsdy,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7471131,https://microsoftweb92.wixsite.com/web-note,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7471142,https://spk-kundennummer.com/sicher-einloggen,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,12,12,12,12,12,12,12
7471139,https://thelian.com/assets/vendor/api.html,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471138,https://b0.ro/CCeyA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7471156,http://traceschol.com/?a=57&c=22645&p=r&s1=471510&s2=1170481711&s3=49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471154,https://welpdergo.com/ff9b2f1949b03d3000/49/1123-13420/1427614-109-247152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471150,https://beon-location.be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471144,https://7urfsk8664.z13.web.core.windows.net/?text=b65ffbe37c04bf1610574c0d81a0b894,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7471170,https://povorus.xyz/pge/pay.php,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471169,https://povorus.xyz/pge/start-transaction/index.php,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471164,https://www.google.com.cy/url?usg=AFQjCNGmfO7Vhm9AKsxqVYGcGUxED5-BNw&sntz=1&sa=D&q=https://spk-itsicherheit2022.com/LQDJU9JB2W#YEx5PgXwOWC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7471160,https://pgeobrot.live,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7471159,http://Lookonlinemarketing.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
