domain_id,phish_id,domain_name,activity_img,activity_req,open_code,virus_total_score,virus_total_engines,ip_address,ip_country,registrant_country,registrar
1,7467707,http://www.cajaarequipa.com/,inactive,active,-,3,"['Sophos', 'Phishtank', 'G-Data']",132.148.253.223,US,,"Sav.com, LLC"
2,7467700,https://fundacionces.edu.co/old.html,inactive,active,-,13,"['Sophos', 'Phishtank', 'CRDF', 'Fortinet', 'Lionic', 'CyRadar', 'Webroot', 'Avira', 'Kaspersky', 'Netcraft', 'BitDefender', 'G-Data']",92.205.0.98,FR,CO,.CO Internet S.A.S.
3,7467690,https://is.gd/2q4uUf?konfirmo,inactive,active,-,4,"['Fortinet', 'Emsisoft', 'Kaspersky', 'Netcraft']",104.25.234.53,US,,
4,7467686,https://is.gd/EjmOz9?konfirmo,inactive,active,-,11,"['OpenPhish', 'Sophos', 'Phishtank', 'Fortinet', 'Lionic', 'Emsisoft', 'Webroot', 'Kaspersky', 'Netcraft', 'BitDefender', 'ESET']",104.25.234.53,US,,
5,7467698,https://is.gd/Lz7wm7?konfirmo,inactive,active,-,7,"['Fortinet', 'Emsisoft', 'Avira', 'Kaspersky', 'Netcraft', 'BitDefender', 'ESET']",104.25.234.53,US,,
6,7467688,https://is.gd/lyMsMw?konfirmo,inactive,active,-,7,"['Fortinet', 'Emsisoft', 'Avira', 'Kaspersky', 'Netcraft', 'BitDefender', 'ESET']",104.25.234.53,US,,
7,7468047,https://app-domain-server.firebaseapp.com/,inactive,active,-,3,"['Avira', 'BitDefender', 'G-Data']",199.36.158.100,US,,
8,7468046,https://app-domain-server.web.app/,inactive,active,-,8,"['Sophos', 'Fortinet', 'Lionic', 'Avira', 'Kaspersky', 'PREBYTES', 'BitDefender', 'G-Data']",199.36.158.100,US,US,MarkMonitor Inc.
9,7468043,https://cancel697479-binance-com.firebaseapp.com/,inactive,active,-,3,"['Sophos', 'BitDefender', 'G-Data']",199.36.158.100,US,,
10,7468042,https://cancel697479-binance-com.web.app/,inactive,active,-,13,"['Sophos', 'CRDF', 'Fortinet', 'Lionic', 'Emsisoft', 'Webroot', 'Avira', 'Kaspersky', 'Segasec', 'PREBYTES', 'Netcraft', 'BitDefender', 'G-Data']",199.36.158.100,US,US,MarkMonitor Inc.
11,7468045,https://cancel698302-binance-com.firebaseapp.com/,inactive,active,-,3,"['Sophos', 'BitDefender', 'G-Data']",199.36.158.100,US,,
12,7468044,https://cancel698302-binance-com.web.app/,inactive,active,-,3,"['Sophos', 'BitDefender', 'G-Data']",199.36.158.100,US,US,MarkMonitor Inc.
13,7468050,https://cancel698660-binance-com.firebaseapp.com/,inactive,active,-,3,"['Sophos', 'BitDefender', 'G-Data']",199.36.158.100,US,,
14,7468049,https://cancel698660-binance-com.web.app/,inactive,active,-,11,"['Sophos', 'Fortinet', 'Lionic', 'SafeToOpen', 'Emsisoft', 'Webroot', 'Kaspersky', 'Segasec', 'PREBYTES', 'Netcraft', 'G-Data']",199.36.158.100,US,US,MarkMonitor Inc.
15,7468041,https://new-owa-voicemail-1.firebaseapp.com/,inactive,active,-,4,"['Avira', 'BitDefender', 'G-Data', 'SCUMWARE.org']",199.36.158.100,US,,
16,7468040,https://new-owa-voicemail-1.web.app/,inactive,active,-,8,"['Fortinet', 'Google Safebrowsing', 'Avira', 'Kaspersky', 'PREBYTES', 'BitDefender', 'G-Data', 'ESET']",199.36.158.100,US,US,MarkMonitor Inc.
