ID,URL,3/23/22 16:58,3/23/22 17:08,3/23/22 17:18,3/23/22 17:29,3/23/22 17:39,3/23/22 17:49,3/23/22 18:00,3/23/22 18:10,3/23/22 18:20,3/23/22 18:31,3/23/22 18:41,3/23/22 18:52
7469349,https://bliopack.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7469348,https://www.hotelesyviajesmexico.com/galeria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470012,https://ci6.googleusercontent.com/proxy/9B_zX7vUKFCBczZaWcttr2MBuJoHYA1eOv9a8tRhhs7J6Sw-QsPMiwVdHSKFEJk88qzmJcTqxQ91bzLo-67LpKsTHHiToaaw1i6kht5eyvv7hqfR63ta5GhEHLPvQg=s0-d-e1-ft#https://www.aiche.org/sites/default/files/images/page/lead/upsdiscounts.jpg,0,0,0,0,0,0,0,0,0,0,0,0
7470011,https://ventas.interbank.pe/promociones/ganadores,0,0,0,0,0,0,0,0,0,0,0,0
7470010,http://wwwbancaprtinternet-interbnk.ingeprodes.com/,1,1,1,1,1,1,1,1,1,1,1,1
7470005,https://glitter-worried-nurse.glitch.me/,5,5,5,5,5,5,5,5,5,5,5,5
7469997,https://www.indeedjobs.org/,0,0,0,0,0,0,0,0,0,0,0,0
7469995,https://www.jcass.co.jp-service-traniid-00001-00001m.gihnrhx.cn/404.html,9,9,9,9,9,9,9,9,9,9,9,9
7469988,https://portal-att.azurewebsites.net/renner.php,0,0,0,0,0,0,0,0,0,0,0,0
7469986,https://wwwpcbaccomweblogin.htmloutloo.repl.co/,14,14,14,14,14,14,14,14,14,14,14,14
7469985,https://www.youtube.com/watch?v=Dhg2iQRmETg,0,0,0,0,0,0,0,0,0,0,0,0
7469984,http://portal.lmterbankpe.extra-caslh.com/,0,0,0,0,0,0,0,0,0,0,0,0
7469983,https://highfalutin-private-flight.glitch.me/,4,4,4,4,4,4,4,4,4,4,4,4
7469980,http://wolkcm8765678-909535.125mb.com,10,10,10,10,10,10,10,10,10,10,10,10
7470023,https://www.aeon.jp.doc79.com/,14,14,14,14,14,14,14,14,14,14,14,14
7470022,https://navegadordigitalexclusivo.com/liberacao,2,2,2,2,2,2,2,2,2,2,2,2
7470021,https://ripple.com.lc/CSoP/register/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
