ID,URL,3/23/22 14:50,3/23/22 15:01,3/23/22 15:11,3/23/22 15:21,3/23/22 15:31,3/23/22 15:42,3/23/22 15:52,3/23/22 16:02,3/23/22 16:13,3/23/22 16:23,3/23/22 16:33,3/23/22 16:43,3/23/22 16:53
7469349,https://bliopack.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7469348,https://www.hotelesyviajesmexico.com/galeria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470012,https://ci6.googleusercontent.com/proxy/9B_zX7vUKFCBczZaWcttr2MBuJoHYA1eOv9a8tRhhs7J6Sw-QsPMiwVdHSKFEJk88qzmJcTqxQ91bzLo-67LpKsTHHiToaaw1i6kht5eyvv7hqfR63ta5GhEHLPvQg=s0-d-e1-ft#https://www.aiche.org/sites/default/files/images/page/lead/upsdiscounts.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
7470011,https://ventas.interbank.pe/promociones/ganadores,0,0,0,0,0,0,0,0,0,0,0,0,0
7470010,http://wwwbancaprtinternet-interbnk.ingeprodes.com/,1,1,1,1,1,1,1,1,1,1,1,1,1
7470005,https://glitter-worried-nurse.glitch.me/,5,5,5,5,5,5,5,5,5,5,5,5,5
7469997,https://www.indeedjobs.org/,0,0,0,0,0,0,0,0,0,0,0,0,0
7469995,https://www.jcass.co.jp-service-traniid-00001-00001m.gihnrhx.cn/404.html,9,9,9,9,9,9,9,9,9,9,9,9,9
7469988,https://portal-att.azurewebsites.net/renner.php,0,0,0,0,0,0,0,0,0,0,0,0,0
7469986,https://wwwpcbaccomweblogin.htmloutloo.repl.co/,14,14,14,14,14,14,14,14,14,14,14,14,14
7469985,https://www.youtube.com/watch?v=Dhg2iQRmETg,0,0,0,0,0,0,0,0,0,0,0,0,0
7469984,http://portal.lmterbankpe.extra-caslh.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
7469983,https://highfalutin-private-flight.glitch.me/,4,4,4,4,4,4,4,4,4,4,4,4,4
7469980,http://wolkcm8765678-909535.125mb.com,10,10,10,10,10,10,10,10,10,10,10,10,10
7470023,https://www.aeon.jp.doc79.com/,11,11,14,14,14,14,14,14,14,14,14,14,14
7470022,https://navegadordigitalexclusivo.com/liberacao,2,2,2,2,2,2,2,2,2,2,2,2,2
7470021,https://ripple.com.lc/CSoP/register/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470020,https://sgp1.digitaloceanspaces.com/reviewthedoc/Quior700.html,1,1,1,1,1,1,1,1,1,9,9,9,9
7470019,https://extracashdigitalsitio.com,11,11,11,11,11,11,11,11,11,11,11,11,11
7470018,https://syz.blob.core.windows.net/fgt/doc365.html,5,5,5,5,5,5,5,5,5,5,5,5,5
7470033,https://tinyurl.com/app/nospam/tinyurl.com/ycdnmbtx/terminated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470032,https://tinyurl.com/ycdnmbtx,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470031,https://www.doc43.com/,9,17,17,17,17,17,17,17,17,17,17,17,17
7470030,https://dliviklovinvest.xyz/,5,5,5,5,5,5,5,5,5,9,9,9,9
7470029,https://mfgroup.live,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470025,https://fiverr100.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470039,http://afterpay.vip,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470038,https://homedecotators.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470035,https://at-t-yahoo-67c1e3.webflow.io/,2,2,2,2,2,2,2,2,2,2,2,2,2
7470034,https://sites.google.com/view/gajiview/yahoo-com,2,2,2,2,2,2,2,2,2,2,2,2,2
7470042,https://atttloginvalkidateww.weebly.com/,4,4,4,4,4,4,4,4,4,4,4,4,4
7470041,http://act-premco.hostfree.pw/,3,4,4,4,4,4,4,4,4,4,4,4,4
7470048,https://wendrich.000webhostapp.com/,1,1,1,1,1,1,1,1,1,1,1,1,1
7470047,https://extracashdigitalsitio.com/src/imagen/logo-white.svg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470044,http://horizonas.co.uk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470043,https://storage.googleapis.com/rewrd/ser.html,0,0,0,0,0,0,0,0,0,0,0,0,0
7470052,https://www.thelandsendstore.us/,1,1,1,1,1,1,1,1,1,1,1,1,1
7470050,https://rebelliongroup.com.au/home/assets/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3
7470060,http://stornompsienaonline.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
7470057,http://nplusonecustoms.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470056,https://sistemabloccompsiena.com/,11,11,11,11,11,11,11,11,13,13,13,13,13
7470055,https://designer-home-decoration.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470064,https://aruba-pagamento.myftp.org/,0,0,0,0,0,0,0,0,0,0,0,0,0
7470061,https://yahoocomsing.weebly.com/,3,3,3,3,3,3,3,3,3,3,3,3,3
