ID,URL,18:43.2,34:49.2,00:35.8,31:23.0,41:28.4,51:34.1,01:39.4,11:44.9,21:50.7,31:56.8,42:04.2,52:08.1,02:13.7,12:20.8,23:58.3
95545107,https://s3.wasabisys.com/pdf56/live82.html,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
95545105,https://skyeservicing.com/craster/Odrivex/index.php,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
95545097,https://golurbherlv-org.azurewebsites.net/passs.php?&locale.x=nl_188.166.98.249f32b30c2a289bfca2c9857ffc5871ac8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
95545095,https://www.imqmusic.com/banquepostale-franceservoce/login/login.php,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
95545084,https://fotocesme.com//invoice/a/index.html,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
95545058,https://onepowerpoint.s3.eu-north-1.amazonaws.com/ind3x.html,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95545055,https://redirecdions-securip.duckdns.org/ren/28fad927899943b/region.php?particulier=,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
95545047,https://keiplanning.conohawing.com/byu.78tvvjksdy.ppol/authorize_client_id:02mx9sfl-slkq-l024-xlbt-pxmt3s6bgzhk_mga3s0j6wpuv5f27xe1zkrhotln4ybi8d9cqh46iwsxk2apycr9fb8mzu30t7g1jdol5vnqekc2yq3tjxi9bdrngphzsm8eul0ow715f6v4a?data=c3BlYWtvdXRuYWdwdXJAdGltZXNncm91cC5jb20=,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95545042,https://coxupdates.github.io/coxmailupdates/Cox_Account_%20Billing_Update.htm,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
95545030,http://portal.microsoftonline-outlook.com/section1.html,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
95545015,https://prgm2022.github.io/prgm.com/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
95544823,https://www.agency-register.shop/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7439306,http://exoduslogin.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7468522,https://auonepay-jp.mdvnf.shop/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7468516,https://cajarequipaserv.com/,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8
7468515,https://href.li/?https://www.irs.gov/newsroom/irs2goapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7468514,https://resolve-irs.com/forms,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7468510,https://www2.aonecoc.icu,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14
7468509,https://swisspost-9f5cd0.ingress-earth.easywp.com/webapps/manage/,1,1,6,6,6,6,6,9,9,9,9,9,9,9,9
7468504,https://php.betadelivery.com/owa/?client-request-id=YWRyaWFuLnJvZ2dAdmlzZWNhLmNo#url=https%3A%2F%2Fowa.viseca.ch%2Fowa%2F,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10
