ID,URL,3/30/22 13:13,3/30/22 13:23,3/30/22 13:34,3/30/22 13:44,3/30/22 13:54,3/30/22 14:04,3/30/22 14:14,3/30/22 14:24,3/30/22 14:35,3/30/22 14:45,3/30/22 14:55,3/30/22 15:05,3/30/22 15:15,3/30/22 15:25,3/30/22 15:36,3/30/22 15:46,3/30/22 15:57,3/30/22 16:07
7473990,https://auto-kddl.co.jp.zvbefd.club/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473987,https://amacoe.co.jp.eccoo.xyz/,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7473980,https://www.amuazom.tzxzyyy.cn/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7473977,http://syncvalidator1.xyz,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7473974,https://btinterneter.yolasite.com/,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-1,12
7473973,https://coffeecatcafe.org/newccc/successus.php,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19
7473972,https://e-shopee.vip/index/user/login.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473969,https://df2587.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473967,http://mfcgroup.it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473965,https://winners-8888.blogspot.com/2022/02/shopee-fortune-quiz-shopee-fortune-box.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473963,http://elle5588.com/#/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473962,https://www.payeer.in/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473953,https://paymayar.com/login.php,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7473952,https://paymayar.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7473991,https://bs-internet.net/us/spotfiy/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7473964,https://app.multichainprotocol.net/,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
