ID,URL,4/7/22 16:29,4/7/22 17:30,4/7/22 18:30,4/7/22 19:30,4/7/22 20:31,4/7/22 21:31,4/7/22 22:31
7480430,http://ca37319.tmweb.ru/,16,16,16,16,16,16,16
7480429,https://sandboxthegame.fun/,9,9,9,9,9,9,12
7480424,http://drestorm.x10.mx,12,12,12,12,12,13,13
7480423,https://fruitfulhopefulobjects.bgeneralfw6com.repl.co,9,9,9,9,9,9,9
7480422,https://heftystrongdrawing.bgeneralfw7com.repl.co,16,16,16,16,16,16,16
7480421,https://general.bancogeneral7.repl.co/,13,13,13,13,13,13,13
7480420,https://bpqa.easycashmanagement.com/easyteller/indexPichincha.html,13,13,13,13,13,13,13
7480416,http://healthiestkitchenever.com/,0,0,0,0,0,0,0
7480413,http://gryhanfeya.klisaikolrhuntypolaeriu.link/,16,16,16,16,16,16,14
7480412,http://pgesbinalbajaucrotceorotgaysssssss.co.vu/confirmid.php,20,20,20,20,19,19,19
7480411,https://repairofyouracctransparancylink.co.vu/,18,18,18,18,18,18,18
7480434,https://business-page-appeal-1262362-3.web.app/,16,16,16,16,16,16,16
7480433,http://jsalalaiuorale.sejuangrelocuancoleeang.link/,13,13,13,13,13,13,11
7480432,http://phantomgalaxies.app,14,14,14,14,14,14,13
7480431,https://www.app-airdrop.com/cake/,6,6,6,6,6,6,6
7480439,https://polkadotx2.com/,1,1,1,1,1,1,1
7480440,http://decentralgame.online,12,12,12,12,12,12,10
7480443,https://olpensea.com/,10,10,9,9,9,9,9
7480441,https://884sbcproaddressmailing55233492bellglobalm7783892atthjaiaoride.weebly.com/,14,14,14,14,14,14,14
7480449,https://aave-app.art/,9,9,9,9,9,9,9
7480447,https://bendigobank.com.au.reset-account.info,7,7,7,7,7,7,8
7480446,http://walletconnectwebs.com,10,10,10,10,10,10,10
7480454,https://disgextension.com/,14,14,14,14,14,14,14
7480460,https://mysupport-nnetannask.xyz/,15,15,15,15,15,15,15
7480458,https://ronin-help.team/abuse/,14,14,14,14,15,15,15
7480464,https://chainlist.eu/?gclid=EAIaIQobChMIi7LLjpP-9gIVC2AYCh3Nwg7AEAMYASAAEgL-3_D_BwE,10,10,10,10,10,10,10
7480473,https://banrural.infoutilitygt.com/login,13,13,15,15,15,15,15
7480477,https://a-u-ac-jp.weebly.com/,10,10,10,10,10,10,10
7480476,https://attadmindomainss99k.weebly.com/,16,16,16,16,16,16,16
7480481,https://app1--ldauth.appleld.0ddcs0.live/?a57a5a743894a0,9,9,8,8,8,8,8
7480487,https://wallrtconnect.netlify.app,17,17,17,17,17,17,17
7480488,https://garenagaming.com,-1,-1,-1,-1,-1,-1,-1
7480492,https://ded4340.inmotionhosting.com/~expertym/wp-includes/blocks/reel/MailUpdateFresh/index.html?err=R4XL67NTXV6WJQXWULD&dispatch=02c&id=8bAbA2aa9C861ab521cc3383b4A7ab#[emailÂ,11,11,13,13,13,13,13
7480494,https://vitallyprofound.com/ionss/v1/index.html#[emailÂ,19,19,19,19,19,19,19
7480500,https://authorizedcookedcase.lefkljshdvakd.repl.co/dksannsnkagswtefagvsd.html#[emailÂ,16,16,16,16,16,16,16
7480503,https://forms.zohopublic.eu/shereee729/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/OKxq4ftMbr8fokm9s7COE_bMFUw9WgNCsTP6LghBtio,7,7,7,7,7,7,7
7480502,https://forms.zohopublic.eu/teresandyy/form/SIGNINYOURBTACCOUNTHERECORRECTLY/formperma/3MadV2cZgAkGD3a29YCHDibfBY4N_uPJ-Ebf52kPenc,6,6,6,6,6,6,6
7480501,https://business-home-securebt.weebly.com/,13,13,13,13,13,13,13
7480518,http://www.rinvio-carta-di-credito.it/BPER/surf7.php,1,1,1,1,1,1,1
7480521,https://portale-wdb.com/,15,15,15,15,15,15,15
