ID,URL,3/24/22 9:18,3/24/22 9:29,3/24/22 9:39,3/24/22 10:02,3/24/22 10:12,3/24/22 10:23,3/24/22 10:33,3/24/22 10:44,3/24/22 10:54,3/24/22 11:04,3/24/22 11:15,3/24/22 11:26,3/24/22 11:36,3/24/22 11:47,3/24/22 11:57,3/24/22 12:08,3/24/22 12:18,3/24/22 12:28,3/24/22 12:39,3/24/22 12:50,3/24/22 13:00,3/24/22 13:11
7470169,https://ofertasenseminuevos.com/peticion-de-compra/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470167,https://ofertasenseminuevos.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470166,https://www.dinoschapman.com/wp-content/plugins/ibwhplfkzm/optus/optus/optus/,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7470163,http://yip.su/29FKW6,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7470162,https://susaksha.com/exodus/,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7470161,https://www.smbc-ceno.tk/jp,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7470155,https://congeladoshouse.es/modules/cookiesplus/views/js/u-kra/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7470153,https://tax-refund-lrs-homepage.com,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7470151,https://irs-profiletax-info.com//?online,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7470150,https://thelian.com/assets/figures/api.html,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7470148,https://l.wl.co/l?u=https://is.gd/VohPj6?trackingid=lqLOF65S&signature=newsletter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7470143,https://multibank.com.loginaspx.com/,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7470142,http://onlinebussines.design/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470140,https://reasonably-expect.my.id/login.php,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7470139,https://expression-is-unique.my.id/,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20
7470137,https://through-ourselves-only.my.id/,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7470136,https://business-page-appeal-12634-21.web.app/appeal.html,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
