ID,URL,3/31/22 11:29,3/31/22 11:39,3/31/22 11:50,3/31/22 12:00,3/31/22 12:11,3/31/22 12:21,3/31/22 12:31,3/31/22 12:42,3/31/22 12:52,3/31/22 13:02,3/31/22 13:17,3/31/22 13:27,3/31/22 13:37,3/31/22 13:48,3/31/22 13:58,3/31/22 14:08,3/31/22 14:19,3/31/22 14:29,3/31/22 14:39,3/31/22 14:49,3/31/22 15:00,3/31/22 15:10,3/31/22 15:20,3/31/22 15:31,3/31/22 15:41,3/31/22 15:51,3/31/22 16:02
7474889,https://afferki.xyz/,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7474888,https://brindfr.xyz/,11,11,11,11,11,11,11,11,11,11,-1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7474881,https://main.d1hnpms2hj3rum.amplifyapp.com/index.html#[emailÂ,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474880,http://wvwbanbif.empresas-pe.com/,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7474878,https://asistentebancariobancentrolafise-nicaraguaproteccion-nicaragu.webnode.es/,7,7,7,7,7,7,7,7,7,7,-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7474876,https://hospitabledarkcyancoderesource.lafise22.repl.co/,14,16,16,16,16,16,16,16,16,16,-1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7474875,https://3466822.000webhostapp.com/,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
7474874,https://autologin-jp.zjsphw.cn/,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7474873,https://sever.aout.bxhhm.cn/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7474872,https://oauto-cau.zgmsqy.cn/,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
